# OUT-OF-CORPUS QRELS for SQUAD evaluation set on FineWeb
# Generated: 2026-02-07T23:38:23.666152
# Model: Qwen/Qwen3-8B
# Top-K: 100
# Total questions: 10570
# Questions out-of-corpus: 3010
#
# Format: qid, question, official_answer
#====================================================================

142, On what date did the Florida legislature decide against the plan to renovate the Miami stadium?, May 3  2013
146, In 2012  how many stadiums were named as finalists for hosting Super Bowl 50 before the final stadium was chosen?, two
147, What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?, Florida legislature
150, What date were the top two stadium choices for Super Bowl 50 announced?, October 16  2012
154, Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?, Florida legislature
155, When was Levi's Stadium awarded the right to host Super Bowl 50?, May 21  2013
161, On what date was Super Bowl 50 given to Levi's Stadium?, May 21  2013
165, What year did Levi's Stadium become fully approved to host Super Bowl 50?, 2013
170, When was San Francisco voted to be the location for Super Bowl 50?, May 21  2013
173, Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?, Boston
174, When was Levi's Stadium picked for Super bowl 50?, May 21  2013
178, Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?, John Fox
180, How many NFL teams have gone 15-1 in one season?, six
184, What was the number of times the Denver Broncos played in a Super Bowl by the time they reached Super Bowl 50?, eight
185, How many NFL teams have had only one loss by the end of a regular season?, ten
192, How many teams have had a 15-1 record for the regular season?, six
193, How many games did the Panthers lose in the regular season before Super Bowl 50?, one
198, How many teams have won 15 regular season games since the 16-game schedule was adopted?, 7
201, How many Panthers went to the Pro Bowl?, Ten
205, What year did the the Saints hit a 13-0 record?, 2009
207, What injury did the Carolina Panthers lose Kelvin Benjamin to during their preseason?, torn ACL
209, Which running back did the Panthers waive?, DeAngelo Williams
211, How many Panthers players were selected to the Pro Bowl?, Ten
212, Which team had the best regular season in their history?, Carolina Panthers
215, How many Panthers players were chosen for the 2015 season's Pro Bowl?, Ten
216, How many Pro Bowlers were on the Panthers offense?, six
217, How many total touchdowns did Cam Newton score?, 45
218, How many interceptions did Cam Newton throw?, 10
219, How many punts did Ted Ginn Jr. return?, 27
220, Who started at tight end for the Panthers?, Greg Olsen
221, What is the record number of touchdowns Cam Newton has had? , 45
222, What is the best QB ranking that Cam Newton holds?, 99.4
223, What are the most passes that Greg Olsen has had?, 77 passes
224, What position does Jerricho Cotchery play?, receivers
226, How many Offensive players from the Panthers were selected to play in the Pro Bowl?, six
228, How many yards did Newton throw for in 2015?, 3 837
229, How many touchdowns did Newton have in 2015?, 45
230, How many touchdowns did Jonathan Stewart have in 13 games?, six
231, How many points did Carolina lead the NFL in scoring for offensive plays?, 500
232, how many yards did Newton get for passes in the 2015 season?, 3 837
233, How many touchdowns did Newton get in the 2015 season?, 45
234, What was Newton's quarterback rating for 2015?, 99.4.
235, How many receptions did Cotchery  get for the 2015 season?, 39
236, How many points did the Panthers defense surrender?, 308
237, How many career sacks did Jared Allen have?, 136
238, How many tackles did Luke Kuechly register?, 118
239, How many balls did Josh Norman intercept?, four
240, Who registered the most sacks on the team this season?, Kawann Short
241, How many interceptions are the Panthers defense credited with in 2015?, 24
242, Who led the Panthers in sacks?, Kawann Short
243, How many Panthers defense players were selected for the Pro Bowl?, four
244, How many forced fumbles did Thomas Davis have?, four
245, Which player had the most interceptions for the season?, Kurt Coleman
246, How many 2015 season interceptions did the Panthers' defense get?, 24
248, Who was the Panthers' tackle leader for 2015?, Luke Kuechly.
249, How many interceptions did Josh Norman score touchdowns with in 2015?, two.
251, Who played quarterback for the Broncos after Peyton Manning was benched?, Brock Osweiler
258, How old was Peyton Manning in 2015?, 39
262, What injury did Manning suffer the summer before the season started?, a plantar fasciitis injury
263, How old was Manning at the beginning of the 2015 season?, 39
264, How many games did the Broncos lose during their regular 2015 season?, four
266, According to game stats  which Super Bowl 50 quarterback had his worst year since his first season as a player in the NFL?, Peyton Manning
268, What foot was injured on Manning that sidelined him in week 10?, left foot.
270, What was Peyton Manning's passer rating for the season?, 67.9
271, How many picks did Peyton Manning throw in the season?, 17
272, Who registered the most receptions on the Broncos?, Demaryius Thomas
273, Who had the most rushing yards on the Broncos?, C. J. Anderson
274, How many touchdowns did Brock Osweiler throw in the season?, 10
275, What was the passer rating for Peyton Manning that he finished out with for the season? , 67.9
276, How may yards did Peyton Manning throw?, 2 249
277, What was the number of 17 interceptions that Peyton Manning had by end of the year?, nine
278, Who had the most receptions out of all players for the year?, Demaryius Thomas
280, What was Manning's passer rating at the end of the season?, 67.9
281, How many times was Manning intercepted during the 2015 season?, 17
283, How many touchdowns did Ronnie Hillman make?, 5
284, What was Manning's passer rating for the 2015 season?, 67.9
285, How many interceptions did manning have in 2015?, 17
286, What Denver player caught the ball 76 times in the 2015 season?, Emmanuel Sanders
287, Who was the Broncos' leading rusher for the 2015 season?, C. J. Anderson
288, What was Ronnie Hillman's average yards per carry in 2015?, 4.7
289, How many yards did the Broncos' defense give up?, 4 530
290, How many sacks did Derek Wolfe register?, 5½
291, Who was first on the team in total tackles?, Brandon Marshall
292, How many picks did Aqib Talib have?, three
295, What is the position Derek Wolfe plays currently? , Defensive ends
296, How many points did the Broncos defense allow their opponents to get?, 296
299, How many interceptions did Aqib Talib have for the regular season?, three.
300, Who forced four fumbles for the Broncos in the 2015 season?, Von Miller
301, What Denver player had 109 tackels for the 2015 season?, Linebacker Brandon Marshall
302, What two Denver players ranked at 5 percent for sacks?, Derek Wolfe and Malik Jackson
305, How many total yards did the Panthers have in the NFC Championship?, 487
306, How many times did Arizona turn the ball over in the NFC Championship?, seven
309, What was the score of the last game the Carolina Panthers played prior to the NFC Championship?, 31–24
310, How many yards did the Carolina Panthers gain in the 487 in the NFC Championship Game?, 487
313, How many turnovers did the Panthers force during the NFC Championship game?, seven
315, What was the score for the 2015 NFC championship game?, 49–15
317, How many yards did the Panthers get for the division championshipt game?, 487
319, How many points did the Broncos score in the last three minutes of the game versus Pittsburgh?, 11
321, What was the final score of the AFC Championship Game?, 20–18
322, How much time remained on the clock when the Broncos made the interception that clinched the AFC Championship Game?, 17 seconds
327, During the Bronco's playoff games  who did not throw at all?, Manning
329, How many points did the Broncos score in the final three minutes of the Pittsburgh game?, 11
331, Who did the Broncos beat to win their division in 2015?, Pittsburgh Steelers
333, How many seconds were left in the game when the Patriots failed their 2-point conversion?, 17
337, How many years has Thomas Davis played in the NFL?, 11
338, What injury did Thomas Davis suffer from repeatedly  for a total of three times  during his career?, ACL tears
340, How many years has Thomas Davis played in the NFL?, 11
341, What game did Thomas Davis say he would play in  despite breaking a bone earlier on?, Super Bowl
343, What injury did Thomas Davis suffer during the playoff games?, broken arm
344, How many years had Thomas Davis played in the league when he broke his arm during the NFC Championship game?, 11
345, Who suffered a broken arm in the NFC Championship Game?, Thomas Davis
346, How old was Peyton Manning when he played in Super Bowl 50?, 39
349, What role does John Elway currently have in the Broncos franchise?, Executive Vice President of Football Operations and General Manager
361, How old was Manning when he played Super Bowl 50?, 39.
365, How old was Newton during Super Bowl 50?, 26
370, How old was Newton during Super Bowl 50?, 26
376, How old was Newton in Super Bowl 50?, 26
377, What was the age difference between Newton and Manning in Super Bowl 50?, 13 years and 48 days
380, What position did Rivera play in Super Bowl XX?, linebacker
381, Who was replaced by Kubiak in Super Bowl XXIV?, Elway
383, What position did Rivera play in Super Bowl XX? , linebacker
384, Who did Kubiak take the place of after Super Bowl XXIV?, Elway
388, What is the name of the turf used in Levi's Stadium for the Super Bowl?, Bermuda 419
389, Who is the field director of the NFL?, Ed Mangan
392, Which player did the turf collapse under during a game in the Levi's Stadium?, Justin Tucker
394, What was used to sod the Levi's Stadium for Super Bowl 50? , hybrid Bermuda 419 turf
396, What did the NFL do to the playing field at Levi's Stadium before the Super Bowl?, a new playing surface
397, What covered the new field at Levi's Stadium?, a hybrid Bermuda 419 turf.
398, What did a lot of players need to change during Super Bowl 50 because of the condition of the field?, their cleats
415, Since Denver chose white  what colors did Carolina wear in Super Bowl 50?, black jerseys with silver pants.
416, At what university's facility did the Panthers practice?, San Jose State
417, At what university's facility did the Broncos practice?, Stanford University
419, In what city's Marriott did the Broncos stay?, Santa Clara
420, What hotel did the Panthers stay in during Super Bowl 50? , San Jose Marriott
421, What was the name of the hotel the Panthers chose to stay in during Super Bowl 50?, Santa Clara Marriott
422, Where did the Panthers practice at for Super Bowl 50?, San Jose State practice facility
423, Where did the Broncos practice at for Super Bowl 50?, Stanford University
424, Where did the Panthers practice for the Super Bowl?, San Jose State practice facility
425, Which hotel did the Panthers stay at for the Super Bowl?, San Jose Marriott.
426, Where did the Broncos practice for the Super Bowl?, Stanford University
427, Which hotel did the Broncos use for Super Bowl 50?, Santa Clara Marriott.
428, Where was the practice place the Panthers used for the Super Bowl?, San Jose
429, Where hotel did the Panthers stay at?, San Jose Marriott.
430, Where did the Broncos practice for the Super Bowl?, Stanford University
431, Where did the Broncos stay at for Super Bowl 50?, Santa Clara Marriott.
435, What was the first Super Bowl to use the standardized logo template?, Super Bowl XLV
449, When did sideline jackets and hats start to feature gold-trimmed logos?, week 7
451, What color was used to create the 50-yard line in Levi's Stadium for the season leading up to the Super Bowl 50 game?, gold
452, What color were the footballs handed out to a variety of high schools  leading up to Super Bowl 50?, gold
454, What was given to high schools where former students went on to play or coach in a Super Bowl?, Gold footballs
457, In what venue did the NFL Experience take place?, Moscone Center
466, Where was the NFL Experience held for the 2015 season?, Moscone Center
467, What opened on January 30th at the Justin Herman plaza?, Super Bowl City
469, What football associated thing started at Justin Herman Plaza in January?, Super Bowl City
470, How many people are likely to visit Justin Herman Plaza during the week of the Super Bowl?, More than 1 million
472, How much did San Francisco get for providing services for the Super Bowl?, $5 million.
473, What did the Moscone Center host?, The annual NFL Experience
475, How much money is being spent on other Super Bowl-related events?, $2 million
477, How much money was spent on other festivities in the Bay area to help celebrate the coming Super Bowl 50?, $2 million
479, Which government entity helped to pay for the festivities  beyond businesses and individuals?, city council
480, Where was a beer  wine and food festival held at prior to the Super Bowl?, Bellomy Field
481, Who helped find sponsors and donors to help with the cost?, A professional fundraiser
482, Who set aside seed funding for the week-long event leading up to the Super Bowl?, city council
483, What was the cost of the other Super Bowl events in the San Francisco area?, $2 million
484, Who may have been called upon to fund the festival associated with the Super Bowl in Santa Clara?, city council
486, On what day does the Super Bowl media day traditionally take place?, Tuesday
487, What venue hosted Super Bowl Opening Night?, SAP Center
490, As a norm  what day of the week is the traditional Media Day held prior to a Super Bowl?, Tuesday
491, What day of the week was Media Day held on for Super Bowl 50?, Monday
492, What was the name of the Media Day event for Super Bowl 50?, Super Bowl Opening Night
493, What is the name of the property where the media event was held for Super Bowl 50?, SAP Center
494, What city was the media event held for Super Bowl 50?, San Jose
496, What new name was given to the media day?, Super Bowl Opening Night.
497, Where was media day for Super Bowl 50 held?, SAP Center in San Jose.
498, What replica was used for player introductions?, the Golden Gate Bridge.
499, What day was Super Bowl 50 media day switched to?, Monday
500, What was media day called for Super Bowl 50?, Super Bowl Opening Night.
501, Where was the new media day event for Super Bowl 50 held?, SAP Center in San Jose.
503, What date was Super Bowl Opening Night held?, February 1  2016
504, What is the name of the program that provides contracting work to local companies?, Business Connect
505, How much money has been raised by the host committee?, $40 million
506, What health company was a Super Bowl sponsor?, Dignity Health
507, What clothing company was a Super Bowl sponsor?, Gap
508, What petroleum company was a Super Bowl sponsor?, Chevron
509, Which committee made an effort to invite companies owned by people  who are transgender or gay  to take part in contract business associated with Super Bowl 50., Super Bowl 50 Host Committee
510, How much money did the committee raise?, over $40 million
512, What is the Super Bowl program called that gives local companies business opportunities for the Super Bowl?, Business Connect
513, What is the name of the service that gets local businesses contract chances with the Super Bowl?, Business Connect
514, According to the text  how much money did the Host Committee raise?, over $40 million
516, What is the name of the Host Committee's charitable initiative?, the 50 fund
518, What was the name of the fund setup to help with investing in the community? , 50 fund
519, The Super Bowl 50 Host Committee said it would be the most what ever?, the most giving Super Bowl ever
521, What is the name of the fund that focuses on youth  community and sustainable environments?, the 50 fund
523, What was the name of the work to give grants for youth development and other things?, 50 fund
527, Who designed the "50"?, Tiffany & Co.
528, Who designed the Vince Lombardi Trophy?, Tiffany & Co.
530, What will the number "50" be plated with? , 18-karat gold-plated
531, Who is the designer of the "50?", Tiffany & Co
533, Who designs both the "50" as well as the Trophy?, Tiffany & Co.
536, Who shared sideline duties with Evan Washburn?, Tracy Wolfson
540, Where was Tracy Wolfson announcing from during the Super Bowl 50 game?, sidelines
543, Where was Evan Washburn located while announcing during the game?, sidelines
545, How many broadcast television partners does the NFL have?, three
547, Who were the announcers of Super Bowl 50?, Jim Nantz and Phil Simms
548, Who were the Super Bowl 50 sideline announcers?, Tracy Wolfson and Evan Washburn
549, What resolution were the Eyevision cameras changed to?, 5K
552, Who reported on the sideline for ESPN Deportes?, John Sutcliffe
553, Who provided Spanish-language commentary alongside Raul Allegre?, Alvaro Martin
554, On what date did ESPN Deportes announce their deal with CBS and the NFL?, December 28  2015
558, Who was the sideline reporter for ESPN Deportes?, John Sutcliffe.
560, Who were the ESPN Deportes commentators for Super Bowl 50?, Alvaro Martin and Raul Allegre
561, Who was the ESPN Deportes sideline commentator for Super Bowl 50?, John Sutcliffe.
562, What service did Verizon customers need to use to stream the game on their smartphones?, NFL Mobile
564, What CBS website provided a stream?, CBSSports.com
567, What was the domain name of the site that streamed the Super Bowl 50 game? , CBSSports.com
569, Which smartphone customers were the only people who could stream the game on their phones?, Verizon Wireless customers
570, What app did viewers use to watch the game on their smartphones? , NFL Mobile service
571, Which wireless company had exclusive streaming rights on mobile phones?, Verizon
572, Which mobile service were Verizon customers able to watch Super Bowl 50 on their phones?, NFL Mobile service.
573, What did CBS provide of the Super Bowl 50 broadcast for its website  some apps and media players?, digital streams of the game
575, Where was the ESPN Deportes Spanish version of Super Bowl 50 available?, WatchESPN.
578, Which late night comedy host show played immediately after Super Bowl 50 ended?, The Late Show with Stephen Colbert
579, What other CBS talk show played  after the main one that began immediately after Super Bowl 50?, The Late Late Show with James Corden
580, What CBS show followed the Super Bowl?, The Late Show with Stephen Colbert
581, What followed The Late Show with Stephen Colbert?, late local programming
582, What followed the late local programming after Super Bowl 50?, The Late Late Show with James Corden.
583, What was the base rate for a 30-second ad during Super Bowl 50?, $5 000 000
584, What beverage company signed a contract allowing them to broadcast ads at a discount?, Anheuser-Busch InBev
587, What was the starting cost for a TV commercial lasting 30 seconds and airing during Super Bowl 50?, $5 000 000
588, Which company was given permission to air TV commercials during Super Bowl 50 at a discounted price?, Anheuser-Busch InBev
590, Which video gaming company debuted their ad for the first time during Super Bowl 50?, Nintendo
591, Who made their Super Bowl commercial debut with Nintendo?, The Pokémon Company
592, Which company has been able to air multiple ads at a steep discount?, Anheuser-Busch InBev
594, What company was in its last year for getting Super Bowl commercials at a big discount?, Anheuser-Busch InBev
597, What was the name of the contest sponsored by QuickBooks?, "Small Business Big Game"
598, What company won a free advertisement due to the QuickBooks contest?, Death Wish Coffee
599, How long was the Death Wish Coffee commercial?, 30-second
600, Besides Death Wish Coffee  how many other competitors participated in the contest?, nine
601, Which company won a contest to have their ad shown for free during Super Bowl 50?, Death Wish Coffee
603, Which company sponsored a contest called "Small Business Big Game"?, QuickBooks.
604, Which company had a commercial aired for free as a result of the Quickbooks contest?, Death Wish Coffee
605, How many companies were part of the Quickbooks contest?, ten
606, What company had a contest to win a free Super Bowl commercial?, QuickBooks.
607, Who won the competition to get a free Super Bowl commercial aired?, Death Wish Coffee
608, What Universal trailer debuted during the Super Bowl?, Jason Bourne
609, What Lionsgate trailer was shown during the Super Bowl?, Gods of Egypt
610, Along with 10 Cloverfield Lane  what Paramount trailer appeared during the Super Bowl?, Teenage Mutant Ninja Turtles: Out of the Shadows
611, What was the subtitle of the Independence Day movie that had a trailer during the Super Bowl?, Resurgence
612, What film did Lionsgate pay to have the trailer aired during the Super Bowl?, Gods of Egypt
613, Paramount paid fo  10 Cloverfield Lane and which other film trailer to be aired during the game?, Teenage Mutant Ninja Turtles: Out of the Shadows
614, Universal Paid for The Secret Life of Pets and which other film trailer?, Jason Bourne
617, What movie company paid to have the next Jason Bourne movie ad shown during the Super Bowl?, Universal
618, What company paid for a Super Bowl 50 ad to show a trailer of X-Men: Apocalypse?, Fox
619, What radio network carried the Super Bowl?, Westwood One
620, Who did play-by-play on Westwood One?, Kevin Harlan
621, Who handled pre-game coverage on Westwood One?, Jim Gray
622, Along with Dan Fouts  who served as a color analyst for the radio broadcast?, Boomer Esiason
623, Who shared sideline reporting duties with Mark Malone?, James Lofton
624, How many color analysts were involved with Super Bowl 50?, two
625, Who announced the game play-by-play for Super Bowl 50?, Kevin Harlan
626, Who will carry the game throughout all of North America?, Westwood One
628, Who covered the halftime coverage?, Jim Gray
629, Who was the announcer for Westwood One's Super Bowl 50 coverage?, Kevin Harlan
630, Who were the Westwood one color analysts?, Boomer Esiason and Dan Fouts
631, Who were the Westwood One sideline announcers?, James Lofton and Mark Malone
632, What did Jim Gray cover?, pre-game and halftime coverage.
634, What radio station is located at 103.5FM on the dial in Denver?, KRFX
635, Who handled play-by-play for the Denver radio market?, Dave Logan
636, What is the frequency of the radio station WBT in North Carolina?, 1110 AM
638, Who did play-by-play for the WBT broadcast?, Mick Mixon
639, Who handled the play-by-play for the Denver radio stations?, Dave Logan
640, Who handled the color commentary for Denver's radio stations?, Ed McCaffrey
642, Who handled the play-by-play for WBT?, Mick Mixon
643, What two radio stations in Denver carried Super Bowl 50?, KOA (850 AM) and KRFX (103.5 FM)
644, What radio station in South Carolina carried the Super Bowl 50 game?, WBT-FM (99.3 FM)
647, Who makes up the BBC commentary team with Greg Brady and Rocky Boiman?, Darren Fletcher
649, British commentators include  Darren Fletcher  Rocky Boiman and who else?, Greg Brady
655, How many of the prior Super Bowl MVPs appeared together at the pregame show?, 39
656, What former MVP was shown in the locker room?, Peyton Manning
657, Which MVP died in 2001?, Harvey Martin
658, How many players have been awarded the Most Valuable Player distinction for the Super Bowl?, 43
659, How many former MVP honorees were present for a pregame ceremony?, 39
662, Which MVP honoree died in 2001?, Harvey Martin
668, Who sang the national anthem?, Lady Gaga
673, How many Grammy Award's does the text say Lady Gaga has won?, Six
675, On what date did the NFL announce that Coldplay would headline the halftime show?, December 3
688, Who was at the receiving end of a 22-yard pass from Peyton Manning?, Andre Caldwell
689, Who lost 3 yards on a tackle by Shaq Thompson?, Ronnie Hillman
690, Who kicked a field goal for Denver?, Brandon McManus
691, Who ran the ball twice for 20 yards on this drive?, C. J. Anderson
693, Who tackled Ronnie Hillman for a loss of yardage?, Shaq Thompson
694, Who kicked the field goal for Denver on the first drive of Super Bowl 50?, Brandon McManus
695, This was the first time that the Carolina team faced what in the post season?, a deficit.
697, Who did Peyton Manning complete an 18 yard pass to on the opening drive?, Owen Daniels
698, Which Denver player took the ball to the Panthers 14 yard line?, C. J. Anderson
699, Who scored the first points for Denver?, Brandon McManus
700, What did Carolina face in the opening drive that they had not faced the entire postseason?, a deficit.
701, Which former referee served as an analyst for CBS?, Mike Carey
702, Whose pass to Jerricho Cotchery was ruled incomplete?, Cam Newton
703, Who stripped the ball from Cam Newton while sacking him on this drive?, Von Miller
706, Who received the pass that was ruled incomplete and confirmed after a challenge?, Jerricho Cotchery
707, What analyst did not agree with the ruling of the incomplete pass?, Mike Carey
708, Who  according to the text  caused Cam Newton to lose the ball during a tackle?, Von Miller
709, Who received the ball that cam Newton lost during a tackle to make it a Denver touchdown?, Malik Jackson
711, Which retired ref disagreed with the outcome of the challenge of a incomplete pass?, Mike Carey
712, Who sacked Newton a few plays after the challenge?, Von Miller
713, Who recovered the fumble and ran the ball in for a touchdown?, Malik Jackson
716, Who punted the ball for Carolina?, Brad Nortman
717, How many yards did Brad Nortman's punt travel?, 28
719, How many yards was the McManus field goal?, 33
720, How many passing yards did Cam Newton get for his 4 of 4 passes?, 51
721, Who got a touchdown making the score 10-7?, Jonathan Stewart
722, How much time was left in the quarter when Stewart got the touchdown?, 11:28
723, Who got a 61-yard return when players thought he called for a fair catch but did not?, Jordan Norwood
725, Who scored the Panthers first touchdown? , Jonathan Stewart
729, Which Panther tipped a Manning pass to himself and picked it off?, Kony Ealy
730, Who was sacked as the first half clock expired?, Newton
731, Who sacked Cam Newton at the end of the half?, DeMarcus Ware
733, Who tipped Peyton's pass for an interception?, Kony Ealy
734, How many yards did the interception gain when the ball was tipped away from Manning?, 19
735, Who tackled the Carolina Panthers' quarterback just before the end of the first half?, DeMarcus Ware
739, How did the drive end for the Panthers?, punt
740, Who sacked Newton with 11 seconds left in the first half?, DeMarcus Ware
741, Who was on the receiving end of a 45-yard pass from Cam Newton?, Ted Ginn Jr.
743, How many yards was the missed field goal?, 44
744, What kicker was successful on a 33-yard field goal?, McManus
745, Who picked off Cam Newton and subsequently fumbled the ball?, T. J. Ward
746, Who did Newton complete a 45 yard pass to on the opening drive of the second half?, Ted Ginn Jr.
748, Which Broncos player intercepted Newton on the Panthers' next set of downs?, T. J. Ward.
750, Who did Newton get a pass to in the Panther starting plays of Super Bowl 50?, Ted Ginn Jr.
751, What yard line did the Broncos stop the Panthers on in their first offensive drive of Super Bowl 50?, 26-yard line
753, Who caught two passes from Manning after the failed Carolina field goal attempt?, Emmanuel Sanders
756, Who caught a 16-yard pass on this drive?, Devin Funchess
759, Who knocked the ball out of Manning's hands on the next play?, Ealy
760, Where was the ball recovered?, 50-yard line.
761, What did the next three drives result in?, punts.
762, What is the last name of the player who bumped the ball away from Manning in the fourth quarter of Super Bowl 50?, Ealy
763, What yard line was the Broncos on when Manning lost the ball in the fourth quarter?, 50-yard line.
765, How many of the following three fourth quarter drives after the field goal makng the score 16-10 ended in punts?, three
766, On what yard line did Carolina begin with 4:51 left in the game?, 24
767, Who fumbled the ball on 3rd-and-9?, Newton
769, What player punched the ball in from the 2?, Anderson
770, Who was the receiver on the successful 2-point conversion?, Bennie Fowler
771, Who stripped the ball from Newton on a 3rd and nine?, Miller
772, Who recovered the strip ball?, wards
773, Which player was criticized for not jumping into the pile to recover the ball?, Newton
774, Which Panthers player got a penalty  which gave the Broncos a new set of downs?, Josh Norman
775, How much time was left in the game when Denver took the score to 24-10?, 3:08
776, What was the time on the clock when Carolina got the ball to their 24-yard line in the fourth quarter?, 4:51
777, What was the last name of the player who took the ball away from Newton late in the fourth quarter?, Miller
778, What is the last name of the player who finally recovered the ball Newton lost in the fourth quarter?, wards
779, How many plays was Denver kept out of the end zone after getting the ball from Newton?, three
781, How many solo sacks did Von Miller have in the game?, five
782, How many touchdowns did Manning throw in the game?, zero
783, How many field goals did McManus kick in the game?, four
784, What player played in the Super Bowl after breaking his arm two weeks before?, Thomas Davis
786, How many interceptions did Manning have at the end of the game?, one
787, How many touchdowns did Manning have at the end of the game?, zero
788, Who was the game's leading rusher?, Anderson
789, Who was the game's top receiver?, Sanders
790, Which player played even though he broke his arm two weeks prior to the Super Bowl?, Thomas Davis
791, What is the last name of the player who was Manning's top receiver for Super Bowl 50?, Sanders
793, How many of the four field goal attempts did McManus succeed at during SUper Bowl 50?, all four
794, How many intercpetions did Newton have in Super Bowl 50?, one
795, How many total tackles did Charles Johnson have in Super Bowl 50?, four
796, How many total yards did Denver gain?, 194
797, How many first downs did Denver have?, 11
799, Who returned a punt for 61 yards  setting a new Super Bowl record?, Jordan Norwood
801, How many yards did Denver have for Super Bowl 50?, 194
803, Who did the Broncos tie with the most sacks in a Super Bowl?, Chicago Bears
805, How many first downs did the Panthers have in Super Bowl 50?, 21
807, What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?, The Broncos
808, What team di the Broncos tie a Super Bowl record for in sacks?, Chicago Bears
815, Over how many species of trees can be found in the Saxon Garden?, 100
817, What garden was formally only for royalty?, The Saxon Garden
819, What park covers an area of 76 ha.?, Łazienki
824, Why are the small lakes in the parks emptied before winter?, to clean them
826, How many of Warsaw's inhabitants spoke Polish in 1933?, 833 500
831, How many professors does the Warsaw University of Technology employ?, 2 000
834, What is one of the largest music schools in Europe?, Fryderyk Chopin University of Music
836, How many items is the University Library home to?, over two million
839, How much area does the University Library garden cover?, 10 000 m2
843, Warsaw's sidewalks and sanitation facilities are some examples of things which have what?, improved markedly
844, Where are some of the best medical facilities in East-Central Europe located?, Warsaw
845, What is the highest reference hospital in all of Poland?, Children's Memorial Health Institute
846, What is one of the largest and most modern oncological institutions in Europe?, Maria Skłodowska-Curie Institute of Oncology
851, Where is the Congress Hall located?, in the Palace of Culture and Science
855, Where was the Summer Theatre located?, Saxon Garden
856, How long was the Summer Theatre in operation?, 1870 to 1939
861, When is the Wianki festival held?, Midsummer’s Night
864, What does the world's first Museum of Posters have one of the largest collections of in the world?, art posters
865, How many museums are in Warsaw?, 60
868, What does the Museum of the Polish Army portray the history of?, arms
870, What museum preserves the memory of the crime?, Katyń
872, Where in Warsaw are patriotic and political objects connected with Poland's struggles for Independence found?, Museum of Independence
879, Who won the Ekstraklasa Championship in 2000?, Polonia Warsaw
881, How many times has Polonia won the cup?, twice
883, Why was Polonia relegated from the country's top flight in 2013?, disastrous financial situation
890, Where did two of Triton's daughters set out on a journey through?, depths of the oceans and seas
