# UNSUPPORTED QRELS for NQ evaluation set on FineWeb
# Generated: 2026-02-07T04:19:25.773551
# Model: Qwen/Qwen3-8B
# Top-K: 100
# Total questions: 3610
# Questions out-of-corpus: 1219
#
# Format: qid, question, official_answer
#====================================================================

220, the cast of don't tell mom the babysitter's dead, Kimmy Robertson
225, who won in the brown vs board of education case, defendants
227, when did the word of wisdom become mandatory, February 1834
229, who wrote and performed i can only imagine, Bart Millard
234, who was kat slater's sisters in eastenders, Zoe
235, what is katie running from in safe haven, her abusive husband
238, how old is the actress who plays phyllis on y&r, Gina Tognoni
240, when does sam realize he is jim in ghost whisperer, Leap of Faith
241, what size engine does a 2005 honda civic have, 1169 cc
242, who won college basketball player of the year, A'ja Wilson
244, locations for the film an englishman who went up a hill, Llanrhaeadr-ym-Mochnant
247, who did the singing in into the woods, the cast
250, who plays timon in lion king on broadway, Max Casella
251, what caused the breakup of the democratic republican party, the disputed 1824 presidential election
253, who has won the most college football national champions, Princeton
257, what was the real name of saudi arabia, the Saudi Arab kingdom
261, who played the colorado kid in rio bravo, Ricky Nelson
262, other than water what else has hydrogen bonds, inorganic molecules such as water
263, where was when we first met netflix filmed, New Orleans
270, when was the last year the eagles went to the superbowl, following the 2017 season
275, batman the enemy with episode 5 release date, March 27  2018
276, yeh hai mohabbatein serial star cast real name, Divyanka Tripathi and Karan Patel
278, when did mcgee became a regular on ncis, in season two
279, who owns the crown plaza hotel in chicago illinois, InterContinental Hotels Group
281, the legend of heroes trails in the sky the 3rd vita, July 14  2016
282, when was a series of unfortunate events published, September 1999
289, who sang picking up pebbles and throwing them into the sea, Matt Flinders
290, how many breeds of pigs are there in the uk, ---
292, who sings the song i'll never forget you, Mariah Carey
294, who sang rip it up and start again, Scottish post-punk band Orange Juice
299, what is the order of the netflix marvel shows, Marvel's Iron Fist
303, when was as you like it first performed, 1603
304, when was the latest version of chrome released, 2018-01-22
309, when do new episodes of riverdale season 2 come out, February 7  2018
313, when did the eagles play in the superbowl, February 6  2005
317, when does madea's family funeral come out, 2018
319, when does the new gotham season come out, September 21  2017
320, who lasted the longest in the royal rumble, Rey Mysterio
322, what does hp mean in war and order, hit points or health points
323, who is the owner of reading football club, Xiu Li Dai
325, who is edmund on days of our lives, Adam Caine
326, when did the nba create the 3 point line, the 1979–80 season
327, what is an example of a tricyclic antidepressant, Amineptine
329, who played the creature on jeepers creepers 3, Jonathan Breck
330, who plays unis in she's the man, Emily Perkins
333, what episode does goku give up against cell, 165
338, how many languages in harry potter translated into, over 74
340, who are the co hosts on the real, Tamar Braxton
344, who ran the fastest 40 yard dash in the nfl, Jakeem Grant
345, when was the last time new zealand had an earthquake, 11 Jul 2017
346, who is the actor that plays dr. sean murphy, Freddie Highmore
347, who played gino in a place to call home, Aldo Mignone
350, what album is sacrifice by elton john on, Sleeping with the Past.
351, who proved that cells come from other cells, Matthias Schleiden
353, who is the designer in devil wears prada, Valentino Garavani
356, what is the ethnic background of the shib sibs, Japanese
358, how much for a passport in the philippines, $60 abroad
360, when did gaurdians of the galaxy 2 come out, 2017
363, what season does bart bass die in gossip girl, )
364, who is the first indian woman to be canonized as a saint, Saint Alphonsa
368, how many episodes of corrie has there been, 9 436
372, where does hydrogen peroxide come from in the body, nearly all living cells
373, who wrote old flames cant hold a candle to you, Pebe Sebert
374, where was the killing of a sacred deer filmed, Cincinnati
377, when did the first ice age come out, 2002
379, when is the publishers clearing house sweepstakes drawing, just after the Super Bowl
381, when was the last time the ducks won the stanley cup, (2006–07)
384, who is the director of taarak mehta ka ooltah chashmah, Malav Suresh Rajda
386, when is the met office leaving the bbc, 31 March 2018
389, what is the population of st petersburg fl, 260 999
390, when did the study of media effects begin, 1919
391, who plays heather in beauty and the beast, Nicole Gale Anderson
394, who is jack's mother in when calls the heart, Charlotte Thornton
397, how many seasons are there for lost girl, 5
403, when does season 6 of the next step start, 2018
407, who has the most wins on around the horn, Woody Paige
408, what are the main sources of economic growth in the us currently, pharmaceuticals
409, who are the australia's got talent judges, Kelly Osbourne
412, when is season 3 of grace and frankie being released, March 24  2017
415, why was hong kong important to the british empire, a centre for international trade
418, criminal minds what episode does jj find out she pregnant, in April 2011
420, who played the twins in darling buds of may, Christina Giles
427, product-market fit means being in a good market with a product that can satisfy that market, Mark Andreessen
428, who does bryce dallas howard play in the grinch, Surprised Who
429, who plays the robot on the orville show, Mark Jackson
430, the group that officially elects the president of the united states is called, the U.S. Electoral College
432, when was the young and the restless first aired, March 26  1973
434, who has won 2017 women's singles korean open series badminton championship, P. V. Sindhu
437, who does eric end up with in gossip girl, Jenny
438, when was the first temple built in jerusalem, the mid-10th century BCE
441, who sings the song it ain't me, Selena Gomez
445, who sings too much time on my hands lyrics, Tommy Shaw
455, who sings every light in the house is on, Trace Adkins
457, who wrote got this feeling in my body, Max Martin
458, when does like cage season 2 come out, June 22  2018
462, what song is played while raising the american flag, Reveille
463, this poster was created to increase support for the war effort.the poster links food rationing to, aiding the war effort
467, when does the last episode of adventure time air, TBA
468, who are the cast members of ncis new orleans, Zoe McLellan
479, who plays the dad in pretty in pink, Harry Dean Stanton
481, when do the new episodes of supernatural start, May 10  2018
483, what is upstream project in oil and gas, drilling exploratory wells
486, what was the final episode of quantum leap, "Mirror Image"
489, who discovered cells divide to make new cells, Hugo von Mohl
492, who does april end up with on parks and rec, Andy
493, who played tom in four weddings and a funeral, James Fleet
495, where did huntington's disease get its name, the physician George Huntington
498, who are the leaders of the jehovah witnesses, Gerrit Lösch
499, who was originally cast as phoebe on charmed, Lori Rom
500, who turned out to be the mother on how i met your mother, Tracy McConnell
508, who sings got my mind set on you, James Ray
509, when did the song here comes the boom come out, May 2002
510, who sang the song i think we're alone now, Tiffany
515, what is the name of the last episode of spongebob, "Bottle Burglars"
517, when does episode 29 of boruto come out, October 18  2017
519, who are the judges on do you think you can dance, Nigel Lythgoe
521, how long was dark side of the moon number 1, a week
523, what is the origin of the name robinson, English language patronymic surname
530, when was the first book made into a movie, 1924
531, when did tim hortons open in the usa, 1981
533, when is the next scandal episode coming out, February 1  2018
537, how many kilometers of great wall of china, 8 850 km
541, where does safe haven take place in the book, Southport  North Carolina
542, who played jason in friday the 13th the final chapter, Ted White
545, when does the shape of water book come out, March 6  2018
547, who may be affected by monetary penalties imposed by the irs, Taxpayers in the United States
553, who were the bands in pitch perfect 3, Evermoist
554, when does walking dead season 8 second half start, October 22  2017
555, who plays whitey bulger's girlfriend in black mass, actress Dakota Johnson
556, when will the next episode of flash be aired, May 15  2018
557, who plays izabella in transformers the last knight, Isabela Moner
568, when does dragon ball super episode 130 comes out, March 18  2018
573, where in the constitution is the executive branch referenced, Article Two
575, who plays mr wilson in dennis the menace, Joseph Sherrard Kearns
577, when did rob dyrdek's fantasy factory end, March 5  2015
578, who was the girl in the video brenda got a baby, Ethel "Edy" Proctor
579, who discovered that plants were made of cells, Parashara
581, do you have to have a gun permit to shoot at a range, Typically  no
583, when did rachel have her baby on friends, May 16  2002
588, who sings angel of the morning in deadpool, Juice Newton
594, who played nicky on the drew carey show, Kate Walsh
596, yo la tengo theres a riot going on release date, March 16  2018
597, when did athens emerges as wealthiest greek city state, the late 6th century BCE
602, how many episodes are in chicago fire season 4, 23
605, when does isle of dogs come out in us, April 13  2018
606, who does marge's voice on the simpsons, Julie Deborah Kavner
607, who is the drummer for guns and roses, Frank Ferrer
613, who is the number one ranked golfer in the world right now, Dustin Johnson
614, who plays the mouse in alice in wonderland, Barbara Windsor
616, which songs did liam write as you were, I've All I Need
621, cast of law & order special victim unit, Kelli Giddish
623, when did the military plane crash in mississippi, July 10  2017
624, who has the most international goals of all time, Ali Daei
625, who played bat masterson in the movie tombstone, Mason Alan Dinehart
627, where does the this is us family live, Pittsburgh
633, when do you get your white coat in pharmacy school, before the first year begins
638, who is the founder of the ubuntu project, Mark Richard Shuttleworth
646, where was the movie strangers prey at night filmed, Covington  Kentucky
647, how did the dominican republic get its name, patron saint  Saint Dominic
648, who played the mother in the black stallion, Teri Garr
649, when is the end of the football season, February 4  2018
652, when did jack mccoy join law and order, 1994
658, what is the weight of a honda fit, 1 020–1 080 kg
659, when will the 2018 oscar nominations be announced, January 23  2018
661, guardians of the galaxy blue guy in prison, Michael Rooker
664, what percentage of the us population lives below the poverty line, 13.5%
665, where can you find dna in the body, chromosomes in a cell
666, who played in last train from gun hill, Bing Russell
672, who wrote the song would i lie to you, Peter Vale
673, when is the last time the philadelphia won the superbowl, Super Bowl LII 
674, who is the actor that plays jt on the young and the restless, Thaddeus Rowe Luckinbill
683, when did beds become popular in france and germany, the 12th century
684, who owns the golden nugget casino in atlantic city, Landry's  Inc.
685, where was the tv show friday night lights filmed, Austin
691, where did they film woody the woodpecker movie, Canada
693, star trek the next generation season 3 episode 24, "Ménage à Troi"
695, who won the oscar for best actor in 1975, Art Carney
699, who plays rooster's girlfriend on the ranch, Maggie Lawson
700, who sings you are a magnet and i am steel, Walter Egan
704, where does the show the path take place, Upstate New York
708, when does kc undercover season 3 episode 10 air, November 10  2017
710, how long is a whale shark in meters, 12.65 m
711, who plays the lion in the movie zookeeper, Sylvester Stallone
713, which level of weight bearing often comes with a set number of pounds, Partial weight-bearing
714, who became the it company ceo in 2016, Abid Ali Neemuchwala
718, when was half life 2 episode 2 released, in 2007
732, where did they film season 8 of the walking dead, Georgia
733, who sings the theme song for living single, Queen Latifah
734, who plays ivo on once upon a time, Dan Payne
736, who plays brad pitt's daughter in moneyball, Kerris Lilla Dorsey
738, the cast of a good day to die hard, Mary Elizabeth Winstead
740, who sang our god is an awesome god, Rich Mullins
743, who sang the song a white sports coat and a pink carnation, Marty Robbins
745, who sings the pokemon theme song season 1, Jason Paige
748, who plays reggie the robot in justin's house, Ben Faulks
762, who plays the scary nun in the conjuring 2, Bonnie Aarons
767, when did korn's follow the leader come out, August 18  1998
770, how many episodes in series 7 of game of thrones are there, 7
771, how many gallons of water in the gulf of mexico, 660 quadrillion US gallons
774, when did canada gain independence from great britain, April 17  1982
777, five tools of security management to overcome computer crime, Pre-evaluation
778, who plays the principal in santa clarita diet, Thomas Lennon
783, how long are the episodes in stranger things season 1, 42–62 minutes
786, what is the number of cities in texas, 961
788, who sings find out who your friends are with tracy lawrence, Kenny Chesney
790, who was the 19th c. artist who was both painter and graphic designer, René Georges Hermann-Paul
792, who plays the voice of the hormone monster, Nick Kroll
794, where do most star formation occur in the milky way today, molecular clouds in interstellar space
796, total number of mna in pakistan national assembly, 332 members
797, where does saying bob's your uncle come from, unknown origin
801, who played tibbs on in the heat of the night, Howard Ellsworth Rollins Jr.
802, who has sold more albums kelly or carrie, Carrie
803, theme of the song roar by katy perry, self-empowerment
805, who plays charles on have and have nots, Nick Sager
808, when is the 5th round fa cup played, 29 January 2018
815, when did the 5 day work week begin, 1908
819, who plays peter in what we do in the shadows, Ben Fransham
820, who plays connor's mom in madeas christmas, Kathy Najimy
821, who died in the plane crash greys anatomy, Dr. Lexie Grey
822, tumhi ho bandhu sakha tumhi cast real name, Aalika Sheikh
823, who wrote there's a guy works down the chip shop lyrics, Philip Rambow
830, when did movies start coming out in color, introduced around 1940
831, who is the girl in the stone sour video say you'll haunt me, Joanna Moskawa
837, when's the last time philly won the superbowl, 2017
839, how many goals did mikel score for chelsea, 6
840, who played ben stone son on law and order, Michael Moriarty
844, what does g stand for in ncis los angeles, Grisha
849, who sings will you still love me when i'm not young and beautiful, Lana Del Rey
851, what does aa on a license plate mean, cars of the royal family
853, who does the voice of little chef in ratatouille, Ian Holm
855, in the song i drive your truck who is he talking about, his brother
860, who had the best strike rate among batsmen who scored over 200 runs in the world cup, Chris Gayle
862, who sings why does it hurt when i pee, Frank Zappa
866, who sings you can't get what you want, the Rolling Stones
870, who gets the most punishments on impractical jokers, Sal
874, who plays nathan's mother on general hospital, Donna Mills
877, who sang i want to be bobbys girl, Marcie Blane
878, where was 2017 beauty and the beast filmed, Surrey  United Kingdom
879, how many episodes of the white princess will there be, eight
881, when does flash come back on season 4 episode 17, May 1  2018
885, where was the movie silver linings playbook filmed, Ridley Park
888, when did slave to the rhythm come out, May 8  2014
899, who plays hulk in the thor and avengers series of movies, Rick D. Wasserman
906, when did university stop being free in australia, 1989
910, when did the song things that make you go hmmm come out, June 1991
911, who plays the dad in girl meets world, Ben Savage
912, who played the dad in a christmas story, Darren McGavin
913, who plays the dwarf king in the hobbit, Richard Crispin Armitage
914, when do you declare honors in contract bridge, any time after the auction
916, when is if loving you is wrong coming back season 4, September 19  2017
917, who won season 16 on dancing with the stars, Kellie Pickler
918, what is the account number of airtel payment bank, Your Airtel mobile number
924, where did the world's largest recorded wave occur, Lituya Bay in Alaska
925, where does half life 2 episode 2 take place, outside City 17
926, sequel to a christmas story it runs in the family, My Summer Story
928, who played bailey in the sisterhood of the traveling pants, Jenna Boyd
929, when does season 18 of law and order svu start, September 21  2016
932, what is the coldest it has ever been in antarctica, −128.6 °F
934, what kind of metric system does the us use, international units
936, in another world with my smartphone japanese title, 異世界はスマートフォンとともに
946, who does the voice of cruz on cars 3, Cristela Alonzo
951, when is the next step season 3 coming out, March 16  2015
954, when did the wall go up in east germany, )  starting on
958, fictional character whose favorite song was blueberry hill, Richie Cunningham
961, what is the average height of a chinese man, 5 ft 6 in
962, where does us highway 1 start and end, Fort Kent  Maine
974, who won oscar for best director this month, Guillermo del Toro
976, who sings love will keep us alive by the eagles, Timothy B. Schmit
983, how many seasons of the glades were made, four
984, who played the mom in the partridge family, Shirley Mae Jones
985, who won the academy award for best original musical score, Alexandre Desplat
991, who played the oldest brother in 7th heaven, Barry Watson
992, how many seasons of from dusk till dawn are there, third season
998, who played young monica in love and basketball, Kyla Pratt
1008, who played dwight's brother on the office, Thomas Middleditch
1009, who was toot toot in the green mile, A trustee
1014, who has won the most united states championships, Lex Luger
1018, who does the voice of alistair in dragon age, Steve Valentine
1019, who were the twins that played for kentucky, Aaron Harrison
1021, who is command sergeant major of the army, Daniel A. Dailey
1024, when was the first episode of scooby doo, September 13  1969
1035, who sang if this world were mine with luther vandross, Tammi Terrell
1038, who sang what are we doing in love, Dottie West
1039, who won the national championship in volleyball 2017, Ohio State
1040, when was zero first used in mathematical operations, By 1770 BC
1046, when was the last time iran had an earthquake, 2017-12-20
1049, what is the origin of the name marvin, Welsh
1057, how many books are in the one piece series, 83
1064, who played the girl in my two dads, Staci Keanan
1065, when do love and hip hop new york come back on, November 13  2017
1067, who played the judge in good will hunting, James P. Flynn
1068, when does the next episode of izombie air, May 7  2018
1072, what is the largest ethnic group in mexico today, K'iche'
1075, where does kfc get their chicken in south africa, reared in South Africa
1079, who sings he thinks he'll keep her, Mary Chapin Carpenter
1080, who sings gone gone gone she been gone so long, Chilliwack
1086, where was the war of the planet of the apes filmed, the Lower Mainland in Vancouver
1088, who is emma dating in once upon a time, Hook
1089, when does the world cup of hockey start, 2020
1092, where is the villa in call me by your name, Moscazzano
1093, when does a wrinkle in time come out in canada, March 9  2018
1096, who sings gimme shelter with mick jagger, Merry Clayton
1098, the fellowship of the ring director's cut length, 228 minutes
1099, who plays addison shepherd on grey's anatomy, Kathleen Erin Walsh
1100, who won the womens 2017 ncaa basketball tournament, South Carolina
1107, when does season 8 of hawaii five o premiere, September 29  2017
1110, how many ammendments to the constitution have there been, Twenty-seven
1111, who sang it must have been love but its over now, Roxette
1113, who did the original spirit in the sky, Norman Greenbaum
1115, who plays rachel on jessie punch dumped love, Isabella Palmieri
1116, when is season 8 for game of thrones, 2019
1123, where is hallmark channel home and family filmed, Los Angeles  California
1127, who sings i can't take my eyes off of you, Frankie Valli
1128, who plays colin on young and the restless, Tristan Rogers
1131, why did ric flair go back to wcw, February 1993
1132, who plays manny in diary of a wimpy kid, Connor and Owen Fielding
1135, who has appeared in the most royal rumbles, Shawn Michaels
1140, who plays sven in the santa clarita diet, Leo Howard
1141, who is the current cruiserweight champion in wwe, Cedric Alexander
1142, who did corbin dance with on dancing with the stars, Karina Smirnoff
1144, who plays harley quinn in the lego batman movie, Jenny Slate
1145, how many different kinds of pokemon cards are there, eleven
1147, batman and robin episode only fools and horses, "Heroes and Villains"
1148, who won the 30 man royal rumble match, Shinsuke Nakamura
1156, when did the log flume closed at alton towers, 10 October 2015
1162, when did sierra nevada brewery open in asheville, early 2014
1169, when does part 5 of jojo take place, The manga begins in 2001
1172, where is the love meaning of the song, lament on various worldwide problems
1175, who played chaka on land of the lost tv show, Phillip Paley
1181, how many quarterbacks have a receiving touchdown in the superbowl, 1
1183, how many seasons of johnny bravo are there, four
1185, who plays drew's boyfriend on the night shift, Rick
1186, when does kubo and the two strings release, August 19  2016
1187, who plays nikko in the wizard of oz, Patrick Walshe
1190, who sang the them song for as told by ginger, Melissa Disney
1191, when does brooklyn nine nine season 5 episode 12, March 18  2018
1194, who played john clark sr on nypd blue, Joe Spano
1195, who played peter benton's sister on er, Jackie Robbins
1201, how many inches is the iphone 5s screen, 4 in
1203, who is the valley of the dolls based on, Dean Martin
1204, when did the movie the post begin filming, May 2017
1205, who is the girl who played in the grinch, Taylor Michel Momsen
1212, when does mexico play in the winter olympics, 9 to 25 February 2018
1214, when does the black panther movie soundtrack come out, February 9  2018
1218, when was the last time the vikings made the superbowl, in the 1970s
1222, where did the battle of issus take place, southern Anatolia
1224, when does the new saw 8 come out, October 27  2017
1230, when does grey's anatomy come back on in march, March 1  2018
1232, where was the remake of dirty dancing filmed, High Hampton Inn in Cashiers
1233, who played the little boy in polar express, Daryl Sabara
1235, when did how you remind me come out, August 21  2001
1240, what year is the deer hunter set in, late 1967
1246, who is the captain of richmond football club, Trent Cotchin
1252, how many episodes curse of oak island season 5, 18
1254, who played mr thatcher in when calls the heart, Garwin Sanford
1255, who plays cesar in the show on my block, Diego Tinoco
1258, who played harley in harley davidson and the marlboro man, Mickey Rourke
1261, who plays the short cop on will and grace, Ryan Pinkston
1266, who played lionel in as time goes by, Geoffrey Dyson Palmer  OBE
1269, who played ricky in secret life of the american teenager, Daren Maxwell Kagasoff
1270, a good that can be used in place of another good, A substitute good
1271, what is the meaning of the name sinead, God forgave/God gratified
1272, who gets first pick of fa cup games, BBC
1276, the man in the high castle episode 1 season 1, The New World
1280, when does jo come in grey's anatomy, season 9
1286, how many medals did austria win in the 2011 alpine skiing world championships, 8
1288, when did the flash first appear on arrow, second season
1296, who sang what i like about you originally, The Romantics.
1300, what percentage of global man-made co2 emissions comes from worldwide aviation, 4 percent cumulative effect
1301, when did i'm coming out come out, August 22  1980
1302, how long has tom brady been playing professional football, 18-season career
1304, spyder from once upon a time in venice, Jason Momoa
1305, who dies in season 6 of once upon a time, Hyde
1306, who won mark and goal of the year 2017, Joe Daniher
1308, where is the 7th game of the world series played, Dodger Stadium  Los Angeles
1309, when does the next season of wynonna earp start, 2018
1312, who sang it's a mean old world, T-Bone Walker
1316, who has the most sacks in college football, Mike Czerwien
1321, who sponsored the phoenix open before waste management, Friedman Billings Ramsey
1323, how much money did the film titanic make, $2.18 billion
1327, what does it mean to fuse the spine, joins two or more vertebrae
1332, who won britain's next top model 2016, Chloe Keenan
1334, where do they film take me out fernando's, Club Bijou on Chapel Street
1335, who played booster in jingle all the way, Curtis Armstrong
1338, which nfl coach has the most superbowl rings, Bill Belichick
1339, when did radio shack change to the source, April 26  2005
1343, when is the next episode of flash airing, May 8  2018
1345, who did michael showers play on vampire diaries, The Man
1348, who won the mvp for the national league, Stanton  Giancarlo
1351, who does tyler end up with in you get me, Ali
1353, when was i look at the world poem written, 30–31 October 2000
1355, who played g baby in the movie hardball, DeWayne Warren
1357, when was the wheel introduced to north america, about 1500 BC
1363, who died in the first episode of stranger things, Benny
1364, who plays zoey in i love you man, Rashida Jones
1366, who owns the dower house in the archers, Lilian Bellamy
1367, to aru kagaku no railgun s episode 3, Project Radio Noise
1368, 1 the bureau of land management manages over acres of land in the united states, 247.3 million
1373, when does the new adventure time come out, April 21  2017
1376, who played tom on as the world turns, Jason Kincaid (1984)
1377, who won the ncaa women's championship last year 2017, South Carolina Gamecocks
1379, when does the little couples new season start, September 19  2017
1381, who played mrs warboys in one foot in the grave, Doreen Mantle
1382, who does tony end up with on skins, Michelle
1383, what is the population of fayetteville north carolina, 204 408 in 2013
1387, when is the flash coming back after christmas, January 16  2018
1390, who has the most number one single hits, The Beatles
1392, where did the river thames start and end, Thames Estuary  North Sea
1393, where is a simple gear train used in real life, Automobile drivetrains
1394, when was how deep is your love released, 1977
1399, who does claire from mcleods daughters end up with, Alex Ryan
1404, when did drop it like it's hot release, September 12  2004
1411, who played joey's agent estelle on friends, June Gable
1413, who won the food network star in 2016, Tregaye Fraser
1415, who were the judges on dancing on ice 2014, Jason Gardiner
1416, where did this case of product tampering occur, the Chicago metropolitan area
1419, who plays bianca in that's so raven, Erica Rivera
1420, when did we find out the smoking man was mulder's father, Later in the sixth season
1423, who is the lead singer of collective soul, Ed Roland
1426, what episode does lori die on the walking dead, "Killer Within"
1429, where does jack ryan live in patriot games, Baltimore  Maryland
1430, when does season 8 for blue bloods start, September 29  2017
1433, who did virginia cavaliers lose to in basketball this year, Virginia Tech
1434, how many times have the golden state warriors been to the playoffs, nine
1435, who plays emma in air bud world pup, Brittany Paige Bouck
1436, who was the qb for the saints before drew brees, Aaron Brooks
1438, when did the first episode of that 70s show air, August 23  1998
1443, who has the best nba record this season, Houston Rockets
1445, who bowled the last over of the 2007 world twenty20 that india won, Pakistan
1449, how much venom can a king cobra produce, 420 mg
1450, who is the girl in the hinder video lips of an angel, Emmanuelle Chriqui
1452, when does season 7 game of thrones dvd release, December 12  2017
1453, when did the twenty one pilots hiatus start, November 2016
1456, who won the fifth season of america's got talent, Michael Grimm
1459, who starred in the film walk the line, Ginnifer Goodwin
1460, who sang the song brother let me be your shelter, Needtobreathe
1461, who plays justin on the haves and the have nots, Nicholas James
1463, who sings what the world needs now in boss baby, Missi Hale
1464, who sings only love can break your heart, Neil Young
1465, who sings ive loved you for a thousand years, Christina Perri
1468, who is the longest serving chief minister in india as on jan 2015, Jyotirindra Basu
1471, how many episodes of ray donovan series 3 are there, 60
1476, when does season 8 of shameless come back, November 5  2017
1483, who want to be a millionaire calls his dad, Carpenter
1485, who played shaggy in the new scooby doo movie, Matthew Lyn Lillard
1489, who sang oh annie i not your daddy, Kid Creole and the Coconuts
1492, where was harry potter and the deathly hallows part 1 filmed, on location
1493, how many farmers are there in the usa, 3.2 million
1503, when is the new series of keeping faith starting, 13 February 2018
1504, who wrote trust and believe by keyshia cole, Jessyca Wilson
1515, who played david on the assassination of gianni versace, Cody Fern
1517, who plays grace in the secret life of the american teenager, Megan Park
1521, when is the new season of chicago pd, September 27  2017
1523, who won the most on who wants to be a millionaire, Kevin Olmstead
1524, who does the voice of ash in sing, Scarlett Johansson
1525, who was tammy from basketball wives married to, basketball player Kenny Anderson
1531, who wrote if i were a boy reba or beyonce, Toby Gad
1533, who played jennifer in back to the future, Claudia Grace Wells
1534, where was the italian episode of everybody loves raymond filmed, Anguillara Sabazia outside of Rome
1535, when was the last bear killed in the uk, c. 1000 AD
1536, who wrote the song stop the world and let me off, W. S. Stevenson
1538, most consecutive games with 20+ points - nba history, 126
1541, what is the purse for the senior open, $2 million in 2011
1542, when did american idol end the first time, April 7  2016
1543, who played anna in once upon a time, Elizabeth Dean Lail
1546, who produced the movie i can only imagine, Pete Shilaimon
1547, what is the meaning of auv in cars, action utility vehicles
1555, who sings so come and dance with me jai ho, Mahalaxmi Iyer
1563, where does the river irk start and finish, east of Royton
1567, who wrote the book my country my life, L. K. Advani
1571, when does season 3 of the riveras start, March 11  2018
1577, when did dragon ball super tournament of power start, February 19  2017
1578, who plays bongos on sympathy for the devil, Rocky Dzidzornu
1590, when did refrigerator perry play for the bears, 1985–1993
1593, when is the new season of wentworth coming out, 19 June 2018
1595, who won latest america's next top model, Kyla Coleman
1597, who sang smoke gets in your eyes first, Gertrude Niesen
1599, who played nathan scott on one tree hill, James Martin Lafferty
1602, who plays dr. sloan on kevin saves the world, Richard Masur
1603, when was clash royale released in the us, March 2  2016
1610, when does the next warrior book come out, April 10  2018
1612, who is hosting e live from the red carpet, Ryan Seacrest
1615, when does the team find out prentiss is alive, In the season seven premiere
1618, which two regions grow most of china’s rice, provinces along the Yangtze River
1625, how many states have a cracker barrel restaurant, 43
1627, what is the meaning of gorakh dhanda in urdu, You are a Puzzle
