# SUPPORTED QRELS for NQ evaluation set on FineWeb
# Generated: 2026-02-07T04:19:25.772966
# Model: Qwen/Qwen3-8B
# Top-K: 100
# Total questions: 3610
# Questions with verified: 2391
# Total verified docs: 56857
#
# Format: qid, question, official_answer, doc_id, answer_offset
#====================================================================

10, which state is located in the centre of india, Chhattisgarh, shard_01715_46636, 1851
10, which state is located in the centre of india, Chhattisgarh, shard_01248_42142, 5074
14, who does the voice of nala in the lion king, Niketa Calame, shard_00086_10683, 8211
14, who does the voice of nala in the lion king, Niketa Calame, shard_01520_10032, 8211
16, what is the oath that new citizens take, United States Oath of Allegiance, shard_01763_32571, 8398
16, what is the oath that new citizens take, United States Oath of Allegiance, shard_00402_21976, 3679
17, who is under the mask of darth vader, Anakin Skywalker, shard_00209_21201, 2075
17, who is under the mask of darth vader, Anakin Skywalker, shard_00920_30540, 3294
17, who is under the mask of darth vader, Anakin Skywalker, shard_00370_19664, 3294
17, who is under the mask of darth vader, Anakin Skywalker, shard_00926_18117, 1993
17, who is under the mask of darth vader, Anakin Skywalker, shard_00726_48885, 17608
17, who is under the mask of darth vader, Anakin Skywalker, shard_00908_30884, 17608
17, who is under the mask of darth vader, Anakin Skywalker, shard_01639_28775, 20253
17, who is under the mask of darth vader, Anakin Skywalker, shard_00834_40188, 0
17, who is under the mask of darth vader, Anakin Skywalker, shard_01705_32342, 0
17, who is under the mask of darth vader, Anakin Skywalker, shard_00099_19960, 19740
17, who is under the mask of darth vader, Anakin Skywalker, shard_01086_29074, 19741
17, who is under the mask of darth vader, Anakin Skywalker, shard_00129_2403, 66
17, who is under the mask of darth vader, Anakin Skywalker, shard_00729_30330, 13
17, who is under the mask of darth vader, Anakin Skywalker, shard_01426_25410, 21
17, who is under the mask of darth vader, Anakin Skywalker, shard_01797_39531, 21
17, who is under the mask of darth vader, Anakin Skywalker, shard_00622_321, 1913
17, who is under the mask of darth vader, Anakin Skywalker, shard_01325_10675, 10628
17, who is under the mask of darth vader, Anakin Skywalker, shard_01810_42239, 10628
17, who is under the mask of darth vader, Anakin Skywalker, shard_01122_25755, 2243
17, who is under the mask of darth vader, Anakin Skywalker, shard_01200_39945, 412
17, who is under the mask of darth vader, Anakin Skywalker, shard_00819_35092, 256
17, who is under the mask of darth vader, Anakin Skywalker, shard_01151_3987, 3688
17, who is under the mask of darth vader, Anakin Skywalker, shard_00223_34841, 3686
17, who is under the mask of darth vader, Anakin Skywalker, shard_00963_17811, 3686
17, who is under the mask of darth vader, Anakin Skywalker, shard_00034_46109, 3687
17, who is under the mask of darth vader, Anakin Skywalker, shard_01547_17000, 3021
17, who is under the mask of darth vader, Anakin Skywalker, shard_00417_9771, 2109
17, who is under the mask of darth vader, Anakin Skywalker, shard_00339_36403, 26312
17, who is under the mask of darth vader, Anakin Skywalker, shard_00794_43334, 830
17, who is under the mask of darth vader, Anakin Skywalker, shard_01043_46531, 2044
17, who is under the mask of darth vader, Anakin Skywalker, shard_01027_37088, 17331
17, who is under the mask of darth vader, Anakin Skywalker, shard_00785_8856, 18962
17, who is under the mask of darth vader, Anakin Skywalker, shard_00528_5696, 10219
17, who is under the mask of darth vader, Anakin Skywalker, shard_00184_36617, 8176
17, who is under the mask of darth vader, Anakin Skywalker, shard_00316_1529, 24
17, who is under the mask of darth vader, Anakin Skywalker, shard_00503_46213, 24
17, who is under the mask of darth vader, Anakin Skywalker, shard_01189_48063, 5124
17, who is under the mask of darth vader, Anakin Skywalker, shard_00486_38364, 1889
17, who is under the mask of darth vader, Anakin Skywalker, shard_01032_48944, 14282
17, who is under the mask of darth vader, Anakin Skywalker, shard_01067_44049, 170
17, who is under the mask of darth vader, Anakin Skywalker, shard_00593_24146, 242
17, who is under the mask of darth vader, Anakin Skywalker, shard_00492_32395, 4025
17, who is under the mask of darth vader, Anakin Skywalker, shard_01699_46987, 998
17, who is under the mask of darth vader, Anakin Skywalker, shard_00050_38269, 3786
17, who is under the mask of darth vader, Anakin Skywalker, shard_00446_9135, 3786
17, who is under the mask of darth vader, Anakin Skywalker, shard_01145_46657, 303
17, who is under the mask of darth vader, Anakin Skywalker, shard_01563_10396, 95
17, who is under the mask of darth vader, Anakin Skywalker, shard_01463_21521, 4524
18, who had a baby at 100 in the bible, Sarah, shard_00168_51209, 4663
18, who had a baby at 100 in the bible, Sarah, shard_01337_47973, 4700
18, who had a baby at 100 in the bible, Sarah, shard_01454_5423, 4700
18, who had a baby at 100 in the bible, Sarah, shard_01625_13729, 1505
18, who had a baby at 100 in the bible, Sarah, shard_00950_39760, 158
18, who had a baby at 100 in the bible, Sarah, shard_00528_34160, 108
18, who had a baby at 100 in the bible, Sarah, shard_01314_28188, 674
19, what age do you need to be to buy a bb gun, 18, shard_00138_48422, 2420
19, what age do you need to be to buy a bb gun, 18, shard_00313_7657, 2420
19, what age do you need to be to buy a bb gun, 18, shard_01337_13740, 2420
19, what age do you need to be to buy a bb gun, 18, shard_00354_12754, 3069
19, what age do you need to be to buy a bb gun, 18, shard_01714_31018, 3069
19, what age do you need to be to buy a bb gun, 18, shard_00824_8435, 3887
19, what age do you need to be to buy a bb gun, 18, shard_00196_3565, 5235
19, what age do you need to be to buy a bb gun, 18, shard_01156_13875, 1062
19, what age do you need to be to buy a bb gun, 18, shard_00644_31361, 5453
19, what age do you need to be to buy a bb gun, 18, shard_01224_485, 1291
19, what age do you need to be to buy a bb gun, 18, shard_01634_47990, 7945
19, what age do you need to be to buy a bb gun, 18, shard_01772_52626, 11442
19, what age do you need to be to buy a bb gun, 18, shard_01452_22717, 10882
19, what age do you need to be to buy a bb gun, 18, shard_00804_42037, 4698
19, what age do you need to be to buy a bb gun, 18, shard_01439_10100, 4698
20, ethiopia flight 961 crashes in to the sea, 23 November 1996, shard_00102_39611, 6711
20, ethiopia flight 961 crashes in to the sea, 23 November 1996, shard_01206_32130, 6714
20, ethiopia flight 961 crashes in to the sea, 23 November 1996, shard_01247_10367, 6242
20, ethiopia flight 961 crashes in to the sea, 23 November 1996, shard_01456_52144, 6246
20, ethiopia flight 961 crashes in to the sea, 23 November 1996, shard_00687_45671, 7218
20, ethiopia flight 961 crashes in to the sea, 23 November 1996, shard_01131_48533, 7218
20, ethiopia flight 961 crashes in to the sea, 23 November 1996, shard_00804_7620, 29415
21, where was percy jackson and the olympians filmed, Vancouver, shard_00429_42129, 5488
24, who plays auggie in the movie the wonder, Jacob Tremblay, shard_00020_32128, 5646
24, who plays auggie in the movie the wonder, Jacob Tremblay, shard_00287_18194, 1706
24, who plays auggie in the movie the wonder, Jacob Tremblay, shard_00160_24912, 269
24, who plays auggie in the movie the wonder, Jacob Tremblay, shard_01151_19385, 120
24, who plays auggie in the movie the wonder, Jacob Tremblay, shard_01187_35621, 120
24, who plays auggie in the movie the wonder, Jacob Tremblay, shard_00117_25369, 328
24, who plays auggie in the movie the wonder, Jacob Tremblay, shard_00179_27455, 231
24, who plays auggie in the movie the wonder, Jacob Tremblay, shard_00867_28368, 1111
24, who plays auggie in the movie the wonder, Jacob Tremblay, shard_00942_345, 2702
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_01314_8904, 1170
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_01071_16888, 390
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00823_29217, 340
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00399_6689, 14036
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00681_49016, 1290
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_01657_44837, 1290
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00658_28729, 9370
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_01043_20603, 8755
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00321_5806, 15734
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_01539_12263, 886
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00490_27815, 1256
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00837_30110, 2351
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00934_33103, 706
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00646_51384, 6900
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00970_31677, 2379
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00235_31439, 2873
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00478_37999, 2873
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_01547_46664, 188
25, when was the first australian prime minister elected, Sir Edmund Barton, shard_00196_35180, 30475
26, who plays matthew on anne with an e, R. H. Thomson, shard_00413_44380, 7078
26, who plays matthew on anne with an e, R. H. Thomson, shard_00441_26629, 7078
26, who plays matthew on anne with an e, R. H. Thomson, shard_00528_32002, 7078
26, who plays matthew on anne with an e, R. H. Thomson, shard_00988_34838, 7078
28, who plays joker in batman the dark knight, Ledger, shard_00052_24371, 11255
28, who plays joker in batman the dark knight, Ledger, shard_00737_5562, 11255
28, who plays joker in batman the dark knight, Ledger, shard_00863_21582, 5459
28, who plays joker in batman the dark knight, Ledger, shard_01734_11948, 5450
28, who plays joker in batman the dark knight, Ledger, shard_00483_42958, 11155
28, who plays joker in batman the dark knight, Ledger, shard_01177_26486, 8059
28, who plays joker in batman the dark knight, Ledger, shard_01482_24845, 14613
28, who plays joker in batman the dark knight, Ledger, shard_00737_43634, 9077
28, who plays joker in batman the dark knight, Ledger, shard_01390_11025, 8171
28, who plays joker in batman the dark knight, Ledger, shard_00128_50601, 9185
28, who plays joker in batman the dark knight, Ledger, shard_00320_50913, 10328
28, who plays joker in batman the dark knight, Ledger, shard_01166_21705, 4961
28, who plays joker in batman the dark knight, Ledger, shard_01386_17388, 69108
28, who plays joker in batman the dark knight, Ledger, shard_00902_10260, 9377
28, who plays joker in batman the dark knight, Ledger, shard_01180_46535, 9661
28, who plays joker in batman the dark knight, Ledger, shard_01289_13816, 61288
28, who plays joker in batman the dark knight, Ledger, shard_01001_29548, 3200
28, who plays joker in batman the dark knight, Ledger, shard_01161_33728, 3200
28, who plays joker in batman the dark knight, Ledger, shard_01747_26752, 1684
28, who plays joker in batman the dark knight, Ledger, shard_00620_6713, 14240
28, who plays joker in batman the dark knight, Ledger, shard_01367_23383, 14240
28, who plays joker in batman the dark knight, Ledger, shard_01545_14650, 14240
28, who plays joker in batman the dark knight, Ledger, shard_01649_12919, 14240
28, who plays joker in batman the dark knight, Ledger, shard_00239_5187, 3512
28, who plays joker in batman the dark knight, Ledger, shard_00548_12482, 3512
28, who plays joker in batman the dark knight, Ledger, shard_00926_35753, 3512
28, who plays joker in batman the dark knight, Ledger, shard_01428_24375, 3512
28, who plays joker in batman the dark knight, Ledger, shard_01536_4141, 3512
28, who plays joker in batman the dark knight, Ledger, shard_01604_16473, 3512
28, who plays joker in batman the dark knight, Ledger, shard_01148_50356, 80242
28, who plays joker in batman the dark knight, Ledger, shard_01200_45644, 3627
28, who plays joker in batman the dark knight, Ledger, shard_00368_44126, 79772
28, who plays joker in batman the dark knight, Ledger, shard_00166_7427, 235
28, who plays joker in batman the dark knight, Ledger, shard_01020_7840, 3414
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00887_52691, 1273
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00440_25383, 1318
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01168_15680, 1318
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01552_42929, 1318
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00058_34958, 1543
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01552_26641, 1543
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01325_14947, 937
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00171_4569, 8085
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00652_44528, 8085
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01076_5706, 8085
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01445_25740, 8085
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01584_49547, 8085
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01174_1205, 132
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01470_8196, 120
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00872_30688, 618
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00566_25924, 2501
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00836_50885, 2501
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01168_31390, 448
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01341_39366, 448
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01037_37605, 838
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00725_20436, 1889
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01768_15722, 1889
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00022_5021, 131
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00370_21459, 1723
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00533_22985, 1723
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01410_2224, 1723
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01054_32914, 606
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00839_47856, 1623
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01289_51526, 1623
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01619_36666, 2946
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01135_29801, 13642
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00814_20989, 13682
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01730_8883, 38
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01143_19089, 310
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00396_29612, 1527
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00803_47334, 1527
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_00047_8563, 3294
29, when was the south asian association for regional co-operation (saarc) formed, December 1985, shard_01767_43549, 395
30, when was the first hunger games book published, September 14  2008, shard_01306_29300, 961
30, when was the first hunger games book published, September 14  2008, shard_00540_52168, 112
30, when was the first hunger games book published, September 14  2008, shard_01306_50647, 1283
30, when was the first hunger games book published, September 14  2008, shard_00423_49730, 1466
30, when was the first hunger games book published, September 14  2008, shard_00966_9113, 1466
30, when was the first hunger games book published, September 14  2008, shard_00095_7377, 209
30, when was the first hunger games book published, September 14  2008, shard_01795_10624, 3633
30, when was the first hunger games book published, September 14  2008, shard_00377_23542, 390
30, when was the first hunger games book published, September 14  2008, shard_01677_52642, 390
30, when was the first hunger games book published, September 14  2008, shard_00591_4823, 392
30, when was the first hunger games book published, September 14  2008, shard_00935_26397, 134
30, when was the first hunger games book published, September 14  2008, shard_01056_34803, 6356
30, when was the first hunger games book published, September 14  2008, shard_01192_33648, 4826
30, when was the first hunger games book published, September 14  2008, shard_00852_41699, 3119
30, when was the first hunger games book published, September 14  2008, shard_01003_17464, 72
30, when was the first hunger games book published, September 14  2008, shard_00092_13459, 232
30, when was the first hunger games book published, September 14  2008, shard_00510_480, 957
30, when was the first hunger games book published, September 14  2008, shard_00056_38011, 6599
30, when was the first hunger games book published, September 14  2008, shard_00221_10465, 1209
30, when was the first hunger games book published, September 14  2008, shard_01755_13128, 293
30, when was the first hunger games book published, September 14  2008, shard_01560_34654, 5742
30, when was the first hunger games book published, September 14  2008, shard_01104_10816, 1047
30, when was the first hunger games book published, September 14  2008, shard_01169_37881, 1047
30, when was the first hunger games book published, September 14  2008, shard_01045_52338, 993
30, when was the first hunger games book published, September 14  2008, shard_01300_53034, 191
30, when was the first hunger games book published, September 14  2008, shard_00812_26571, 423
30, when was the first hunger games book published, September 14  2008, shard_00236_10833, 3011
30, when was the first hunger games book published, September 14  2008, shard_01382_27631, 3011
30, when was the first hunger games book published, September 14  2008, shard_00275_17950, 351
30, when was the first hunger games book published, September 14  2008, shard_00994_15109, 351
30, when was the first hunger games book published, September 14  2008, shard_01595_20625, 351
30, when was the first hunger games book published, September 14  2008, shard_00987_22232, 15604
30, when was the first hunger games book published, September 14  2008, shard_01346_41274, 1856
30, when was the first hunger games book published, September 14  2008, shard_01586_37496, 500
30, when was the first hunger games book published, September 14  2008, shard_00327_11226, 948
30, when was the first hunger games book published, September 14  2008, shard_00620_45906, 948
30, when was the first hunger games book published, September 14  2008, shard_01420_24791, 948
30, when was the first hunger games book published, September 14  2008, shard_00050_13966, 345
30, when was the first hunger games book published, September 14  2008, shard_00115_1468, 345
30, when was the first hunger games book published, September 14  2008, shard_00282_19590, 345
30, when was the first hunger games book published, September 14  2008, shard_00982_33672, 345
30, when was the first hunger games book published, September 14  2008, shard_01094_22084, 345
30, when was the first hunger games book published, September 14  2008, shard_00002_24536, 2270
30, when was the first hunger games book published, September 14  2008, shard_00324_31613, 2270
30, when was the first hunger games book published, September 14  2008, shard_00980_45257, 2270
30, when was the first hunger games book published, September 14  2008, shard_01047_52673, 177
31, who did bette midler portray in the rose, Mary Rose Foster, shard_01238_18082, 3922
32, who is the lead singer of depeche mode, David Gahan, shard_00840_25649, 24340
32, who is the lead singer of depeche mode, David Gahan, shard_00145_455, 3219
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01464_4177, 191
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01796_32634, 191
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01001_41835, 840
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01410_15773, 37
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_00148_31682, 714
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_00340_26273, 714
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01444_30341, 1791
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_00935_37256, 418
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_00204_9112, 399
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01423_39843, 1728
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_00650_39163, 8113
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01041_47494, 8113
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01057_25457, 8113
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01812_18824, 1405
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01771_40863, 3808
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_00047_29785, 206
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01260_19251, 206
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01584_33015, 206
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01731_36478, 206
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01410_9584, 469
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01780_13042, 595
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_00111_1399, 2229
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_00960_5321, 2229
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_01003_23239, 6481
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_00210_28100, 125
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_00095_10909, 698
33, where did the butchers in the slaughterhouse cases live, New Orleans, shard_00617_8573, 7321
34, who developed the concept of total quality management, W. Edwards Deming, shard_00401_27518, 641
34, who developed the concept of total quality management, W. Edwards Deming, shard_01255_46370, 641
34, who developed the concept of total quality management, W. Edwards Deming, shard_00649_1389, 7535
34, who developed the concept of total quality management, W. Edwards Deming, shard_00951_13605, 688
34, who developed the concept of total quality management, W. Edwards Deming, shard_00313_10604, 1604
34, who developed the concept of total quality management, W. Edwards Deming, shard_01437_17494, 11313
34, who developed the concept of total quality management, W. Edwards Deming, shard_00524_16016, 1653
34, who developed the concept of total quality management, W. Edwards Deming, shard_01664_5002, 1664
34, who developed the concept of total quality management, W. Edwards Deming, shard_00935_43379, 72
34, who developed the concept of total quality management, W. Edwards Deming, shard_01660_23681, 72
34, who developed the concept of total quality management, W. Edwards Deming, shard_00688_45024, 4193
34, who developed the concept of total quality management, W. Edwards Deming, shard_01529_35836, 1807
34, who developed the concept of total quality management, W. Edwards Deming, shard_00639_45370, 1530
34, who developed the concept of total quality management, W. Edwards Deming, shard_00993_16634, 1530
34, who developed the concept of total quality management, W. Edwards Deming, shard_01171_50363, 1530
34, who developed the concept of total quality management, W. Edwards Deming, shard_01379_45752, 1530
34, who developed the concept of total quality management, W. Edwards Deming, shard_00214_46241, 9177
34, who developed the concept of total quality management, W. Edwards Deming, shard_00108_43916, 4193
34, who developed the concept of total quality management, W. Edwards Deming, shard_01821_11696, 76
34, who developed the concept of total quality management, W. Edwards Deming, shard_01322_17620, 3607
34, who developed the concept of total quality management, W. Edwards Deming, shard_01056_7944, 824
34, who developed the concept of total quality management, W. Edwards Deming, shard_00145_47509, 1365
34, who developed the concept of total quality management, W. Edwards Deming, shard_00759_23204, 1365
34, who developed the concept of total quality management, W. Edwards Deming, shard_00768_18036, 1365
34, who developed the concept of total quality management, W. Edwards Deming, shard_00829_3715, 1365
34, who developed the concept of total quality management, W. Edwards Deming, shard_00951_21140, 1365
34, who developed the concept of total quality management, W. Edwards Deming, shard_00967_35200, 1365
34, who developed the concept of total quality management, W. Edwards Deming, shard_01165_44755, 1365
34, who developed the concept of total quality management, W. Edwards Deming, shard_01288_24565, 1365
34, who developed the concept of total quality management, W. Edwards Deming, shard_01401_48157, 1365
34, who developed the concept of total quality management, W. Edwards Deming, shard_01628_31650, 1365
34, who developed the concept of total quality management, W. Edwards Deming, shard_01521_50085, 1200
34, who developed the concept of total quality management, W. Edwards Deming, shard_00079_31512, 1937
34, who developed the concept of total quality management, W. Edwards Deming, shard_00237_3389, 1937
34, who developed the concept of total quality management, W. Edwards Deming, shard_00870_11392, 63
34, who developed the concept of total quality management, W. Edwards Deming, shard_01692_28811, 731
34, who developed the concept of total quality management, W. Edwards Deming, shard_01029_21081, 85
34, who developed the concept of total quality management, W. Edwards Deming, shard_01158_16747, 9710
34, who developed the concept of total quality management, W. Edwards Deming, shard_00080_41090, 9783
34, who developed the concept of total quality management, W. Edwards Deming, shard_00228_44653, 9935
34, who developed the concept of total quality management, W. Edwards Deming, shard_00610_23476, 568
37, when did taylor swift's first album release, October 24  2006, shard_01377_20268, 2532
37, when did taylor swift's first album release, October 24  2006, shard_01089_51115, 3551
37, when did taylor swift's first album release, October 24  2006, shard_00166_50014, 4304
38, what are the three fifty shades of grey books, Fifty Shades of Grey, shard_01266_52415, 726
38, what are the three fifty shades of grey books, Fifty Shades of Grey, shard_01517_50271, 2488
38, what are the three fifty shades of grey books, Fifty Shades of Grey, shard_01667_17422, 2488
38, what are the three fifty shades of grey books, Fifty Shades of Grey, shard_01387_34785, 4653
38, what are the three fifty shades of grey books, Fifty Shades of Grey, shard_01033_12530, 6106
38, what are the three fifty shades of grey books, Fifty Shades of Grey, shard_00032_24090, 1714
38, what are the three fifty shades of grey books, Fifty Shades of Grey, shard_00148_1837, 1714
38, what are the three fifty shades of grey books, Fifty Shades of Grey, shard_00852_46617, 1714
38, what are the three fifty shades of grey books, Fifty Shades of Grey, shard_00943_15904, 1714
38, what are the three fifty shades of grey books, Fifty Shades of Grey, shard_01420_16114, 1714
38, what are the three fifty shades of grey books, Fifty Shades of Grey, shard_01715_6556, 1714
38, what are the three fifty shades of grey books, Fifty Shades of Grey, shard_00446_41494, 6257
39, who has the power (judicial) to make decisions in courts of law, judges, shard_01062_53000, 690
39, who has the power (judicial) to make decisions in courts of law, judges, shard_00630_31407, 690
39, who has the power (judicial) to make decisions in courts of law, judges, shard_00761_8794, 96
39, who has the power (judicial) to make decisions in courts of law, judges, shard_01612_50392, 772
39, who has the power (judicial) to make decisions in courts of law, judges, shard_01395_7490, 605
39, who has the power (judicial) to make decisions in courts of law, judges, shard_00319_15354, 425
39, who has the power (judicial) to make decisions in courts of law, judges, shard_01733_4190, 12014
